# UA-GEC v2 F/Calque lookup derived from https://github.com/grammarly/ua-gec; license: CC-BY-4.0.
# Attribution: Syvokon et al., UNLP 2023. Rows are lowercased, stripped pairs with frequency >= 2.
bad,good,error_type,frequency,source,license,attribution
задач,завдань,F/Calque,5,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
як тільки,щойно,F/Calque,5,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
даної,цієї,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
дозволяють,дають змогу,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
доклав,доповів,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
доктора,лікаря,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
задачею,завданням,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
заділи,зачепили,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
знаходить,вважає,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
передню,передпокій,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
положення,становище,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
пості,дописі,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
пруди,ставки,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
стьопа,степан,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
тим,то,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
топ-3,три найголовніші,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
чим,що,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ямщик,візник,F/Calque,4,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
бормотав,бурмотів,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в тому числі,зокрема,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вздихнув,зітхнув,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
видом,виглядом,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
виді,вигляді,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
виключенням,винятком,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
виключно,лише,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
врач,лікар,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
всього,лише,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
даною,цією,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
задачу,завдання,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
заставити,змусити,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
курносий,кирпатий,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
насос,помпа,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
насоси,помпи,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
наступне,таке,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
наступним,таким,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
наступним чином,так,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
настільки,так,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
оточуючих,навколишніх,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
палач,кат,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
посту,допису,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
прикладається,додаю,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
роблячи вигляд,вдаючи,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
рівно,одно,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
свою сторону,свій бік,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
справку,довідку,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
стакан,склянку,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
стало бути,виходить,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
стрекоз,бабок,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
сідий,сивий,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
табак,тютюн,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
фьодор,федір,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
як би,наче,F/Calque,3,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
аж зовсім темніше тучі,темнішим за хмару,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ах,ох,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
безлепіца,нісенітниця,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
бумаги,паперу,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
бумажку,папірець,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
буфетчики,буфетники,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
буфетчиком,буфетником,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
більше того,ба більше,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в залежності,залежно,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в принципі,загалом,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
"в принципі,",загалом,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в свою чергу,своєю чергою,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в сторону,до,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в сторону,у напрямку,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в тому числі,зокрема і,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в якості,як,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
в інакшому випадку,інакше,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
велике,дуже,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
весною,навесні,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вести себе,поводитися,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
виглядають,мають вигляд,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вид,вигляд,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
виключення,виняток,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
виключили,відрахували,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
виключно,винятково,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вилкою,виделкою,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вилку,виделку,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
висотою,заввишки,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вклад,внесок,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
включає,охоплює,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вскрикнула,викрикнула,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вспіваєш,встигаєш,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вузам,вишам,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вузи,виші,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
віддьорнула,відсмикнула,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
відміняється,скасовується,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
відмітити,відзначити,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
відносно,стосовно,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
відправитись,вирушити,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
вірні,правильні,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
дана,така,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
даний,згаданий,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
датчани,данці,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
дедлайну,крайнього терміну,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
довжиною,завдовжки,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
дозволить,дасть змогу,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
дріж,тремтіння,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
жарко,спекотно,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
жемчужиною,перлиною,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
жизні,життя,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
задачами,завданнями,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
заказ,замовлення,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
закрий-ка,зачини-но,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
залив,затоку,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
заставив,змусив,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
заставляє,змушує,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
зверхзвичайна,надзвичайна,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
зимою,взимку,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
зов,поклик,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
зростаючим,щораз більшим,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
кабатчиком,шинкарем,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
карман,кишеню,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
койку,ліжко,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
коментарій,коментар,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
космату,пелехату,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
костьол,костел,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
криси,щурі,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
кругом йде,йде обертом,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
кувшин,глек,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
кучею,купою,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
лайки,вподобайки,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
лайків,вподобайок,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
лопаточна,лопаткова,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
лотку,"човен,",F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
любимою,улюбленою,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
любитель,прихильник,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
літом,влітку,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
мається на увазі,йдеться про,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
месире,пане,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
мова,йдеться,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
нажимав,натискав,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
назад,тому,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
насосу,помпи,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
насосів,помп,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
наступних,таких,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
не дивлячись,незважаючи,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
нейросітки,нейромережі,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
нирнув,пірнув,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ні в якому,у жодному,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ні в якому разі,аж ніяк,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
обличчя,"особи,",F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
оборвиш,обірванець,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
об’явила,оголосила,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
остатки,залишки,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
отоплення,опалення,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
оточуючих,оточення,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
палатку,намет,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
палатці,наметі,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
перчатки з,рукавички,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
побільше,якнайбільше,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
повинно,мабуть,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
подібно,як і,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
полоси,смуги,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
полчища,юрми,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
порядка,близько,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
постів,дописів,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
почув себе,почувався,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
приближался,наближалися,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
прихожани,парафіяни,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
пробках,заторах,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
пройшло,минуло,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
пролайкають,вподобають,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
підпишуться,стежитимуть,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
підряд,поспіль,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
рижого,рудого,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ричав,рикав,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
робили вид,вдавали,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
розкати,гуркіт,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
розміром,завбільшки,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
рюмку,чарку,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
рідкість,диво,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
рішились,зважились,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
свого роду,своєрідний,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
свого роду,своєрідним,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
скачку,стрибка,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
скоріше за все,найімовірніше,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
співпадіння,збіг,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ставив,проводив,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
столовій,їдальні,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
січення,переріз,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
тим не менш,а проте,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
товщиною,завтовшки,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
трубку,люльку,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
у цілому,загалом,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
у якості,як,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ум,розум,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
ума,розуму,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
хелпери,помічники,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
хорошо,добре,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
хотя,хоча,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
худощавий,худорлявий,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
чудаків,диваків,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
чужака,чужинця,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
шарманщиків,шарманників,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
шлема,шолома,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
шляпу,капелюх,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
щурився,мружився,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
як виглядаєте,який маєте вигляд,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
іванушка,івасик,F/Calque,2,UA-GEC v2,CC-BY-4.0,"Syvokon et al., UNLP 2023"
